Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2013,Maryland,24,MD,NMC,100378,5928814,232,1,20,17,194,1746,587,1095,64,4311
2013,Massachusetts,25,MA,MSA,6593377,6692824,27297,137,2659,6663,17838,135157,30207,95912,9038,327818
2013,Massachusetts,25,MA,OMA,91728,6692824,367,0,59,43,265,2126,526,1516,84,5145
2013,Massachusetts,25,MA,NMC,7719,6692824,3,0,0,0,3,2,2,0,0,9
2013,Michigan,26,MI,MSA,8089847,9895622,40367,597,4995,9973,24802,200180,49238,127412,23530,489965
2013,Michigan,26,MI,OMA,603348,9895622,1481,9,546,77,849,14215,2094,11799,322,32005
2013,Michigan,26,MI,NMC,1202427,9895622,2675,25,1052,55,1543,15939,5012,10212,715,39565
2013,Minnesota,27,MN,MSA,4178564,5420380,10813,94,1514,3576,5629,108031,18232,82964,6835,245107
2013,Minnesota,27,MN,OMA,490171,5420380,1118,9,245,81,783,13951,1962,11404,585,30982
2013,Minnesota,27,MN,NMC,751645,5420380,774,11,249,17,497,9213,2519,6148,546,21719
2013,Mississippi,28,MS,MSA,1361997,2991207,4139,77,460,1441,2161,40921,11410,26910,2601,97391
2013,Mississippi,28,MS,OMA,588107,2991207,2336,67,265,798,1206,26301,7465,17793,1043,62403
2013,Mississippi,28,MS,NMC,1041103,2991207,1739,51,205,170,1313,14278,6120,7414,744,36415
2013,Missouri,29,MO,MSA,4486519,6044171,21763,310,1956,5177,14320,150957,30242,106435,14280,353919
2013,Missouri,29,MO,OMA,661762,6044171,2527,17,174,257,2079,25816,4332,20463,1021,58491
2013,Missouri,29,MO,NMC,895890,6044171,1907,44,157,50,1656,12833,4291,7518,1024,31864
2013,Montana,30,MT,MSA,359094,1015165,924,5,131,143,645,12945,2164,9837,944,28978
2013,Montana,30,MT,OMA,211218,1015165,852,12,170,43,627,7141,946,5770,425,16080
2013,Montana,30,MT,NMC,444853,1015165,791,5,109,18,659,5867,954,4432,481,13479
2013,Nebraska,31,NE,MSA,1195918,1868516,3988,53,503,993,2439,36681,6518,26238,3925,83868
2013,Nebraska,31,NE,OMA,341308,1868516,706,1,233,39,433,9277,1580,7336,361,20840
2013,Nebraska,31,NE,NMC,331290,1868516,203,3,65,8,127,3060,802,2081,177,7125
2013,Nevada,32,NV,MSA,2519173,2790136,15824,143,1290,5124,9267,73425,21274,42622,9529,183948
2013,Nevada,32,NV,OMA,47878,2790136,282,10,49,24,199,1996,577,1243,176,4851
2013,Nevada,32,NV,NMC,223085,2790136,718,10,79,35,594,3756,1196,2267,293,9426
2013,New Hampshire,33,NH,MSA,827519,1323459,1850,13,378,515,944,17808,2888,14333,587,40354
