Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2017,Georgia,13,GA,NMC,1136418,10429379,2452,38,216,170,2028,18557,5019,12372,1166,39566
2017,Hawaii,15,HI,MSA,1156252,1427538,2886,34,380,975,1497,33206,4237,24556,4413,69298
2017,Hawaii,15,HI,OMA,0,1427538,0,0,0,0,0,0,0,0,0,0
2017,Hawaii,15,HI,NMC,271286,1427538,691,5,187,102,397,7186,1312,5018,856,15063
2017,Idaho,16,ID,MSA,1262172,1716943,3067,20,563,170,2314,22617,4422,16514,1681,48301
2017,Idaho,16,ID,OMA,185424,1716943,425,6,66,19,334,3070,612,2274,184,6565
2017,Idaho,16,ID,NMC,269347,1716943,396,6,78,7,305,2392,621,1490,281,5180
2017,Illinois,17,IL,MSA,11331892,12802023,52451,958,4868,17292,29333,235187,38399,176814,19974,522825
2017,Illinois,17,IL,OMA,826086,12802023,2661,18,455,242,1946,17164,3389,13159,616,36989
2017,Illinois,17,IL,NMC,644045,12802023,1068,21,233,33,781,5146,1671,3184,291,11360
